APPLICATION_ID,APPL_ID_LINK,IC_NAME,Topic_30,Topic_30_Name,Topic_20,Topic_20_Name,Topic_15,Topic_15_Name,Topic_10,Topic_10_Name,Topic_5,Topic_5_Name
10747370,https:/reporter.nih.gov/search/G_jz1zQufEKgZSpE8sW6Tg/project-details/10747370#similar-Projects,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,13,Liver Health & Disease,12,Liver Disease Mechanisms,2,Metabolic Disorders,0,Vascular Disease,0,Cell Genomics
10841715,https:/reporter.nih.gov/search/M-qP-3J4oka1OekU5H5OHg/project-details/10841715#similar-Projects,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",9,Heart Health & Cardiology,8,Cardiovascular Health,2,Metabolic Disorders,0,Vascular Disease,0,Cell Genomics
10889985,https:/reporter.nih.gov/search/jcGj_OUn5ECleQFq5PemmQ/project-details/10889985#similar-Projects,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",6,Lung Fibrosis & Inflammation,3,Inflammation and Immunity,4,Respiratory Health,0,Vascular Disease,3,Immune Response
10917292,https:/reporter.nih.gov/search/ZhwnL93340Oez6IoLAJA5Q/project-details/10917292#similar-Projects,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,24,Kidney Disease & Transplantation,19,Kidney Disease Impact,4,Respiratory Health,0,Vascular Disease,3,Immune Response
10802978,https:/reporter.nih.gov/search/M5K4ppQVbU-XHn_iycLdRQ/project-details/10802978#similar-Projects,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING,16,Data Management & Bioinformatics,17,Prostate Cancer Detection,8,Genomic Studies,7,Research Management,0,Cell Genomics
10885150,https:/reporter.nih.gov/search/wDcvyyCoKUG61eXMTbPjHg/project-details/10885150#similar-Projects,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING,5,Cell Signaling & Receptors,5,Protein Signaling Pathways,0,Cancer Biology,2,Gene Expression,0,Cell Genomics
10831043,https:/reporter.nih.gov/search/CTdJZ4v8oEGIVEMZp_NoTg/project-details/10831043#similar-Projects,NATIONAL INSTITUTE ON AGING,4,Neurodegenerative Diseases,2,Alzheimer's Biomarkers,6,Neurodegenerative Diseases,6,Alzheimer's Disease and Dementia,1,Neurological Aging
10799868,https:/reporter.nih.gov/search/zX0BClN6zkaUQgdT0mdwbw/project-details/10799868#similar-Projects,NATIONAL INSTITUTE ON DRUG ABUSE,15,Substance Use & Addiction,6,HIV Prevention Strategies,5,HIV Interventions,8,Substance Use,2,Health Interventions
10991186,https:/reporter.nih.gov/search/yO7EpeVLzkiXC3Q9LSsF8Q/project-details/10991186#similar-Projects,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,17,Autoimmunity & Inflammation,3,Inflammation and Immunity,4,Respiratory Health,1,Immune Response,3,Immune Response
10890040,https:/reporter.nih.gov/search/lHkRI7mGb0ezec9jgczTSw/project-details/10890040#similar-Projects,NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM,13,Liver Health & Disease,12,Liver Disease Mechanisms,2,Metabolic Disorders,0,Vascular Disease,0,Cell Genomics
11042538,https:/reporter.nih.gov/search/lAPHIxQoLUSy7uMGkpfhxQ/project-details/11042538#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,28,Core Administration & Research,13,Research Core Services,12,Core Services,7,Research Management,2,Health Interventions
10809029,https:/reporter.nih.gov/search/GRr29WHESU6XWEHkRe4CzQ/project-details/10809029#similar-Projects,NATIONAL INSTITUTE ON AGING,7,Brain Injury & Neurology,2,Alzheimer's Biomarkers,6,Neurodegenerative Diseases,6,Alzheimer's Disease and Dementia,1,Neurological Aging
10940965,https:/reporter.nih.gov/search/zHXu-iwLCEibs9cfxX5R-w/project-details/10940965#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,26,Synthesis & Catalysis,5,Protein Signaling Pathways,14,Molecular Biology,2,Gene Expression,0,Cell Genomics
10829371,https:/reporter.nih.gov/search/Hs4bJChRx0KVuqLdaNqPfA/project-details/10829371#similar-Projects,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",11,Genomics & Gene Expression,15,Stem Cell Regeneration,7,Stem Cell Biology,2,Gene Expression,0,Cell Genomics
10883571,https:/reporter.nih.gov/search/fMuW_iHe50yuFmSHapjmBQ/project-details/10883571#similar-Projects,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,11,Genomics & Gene Expression,11,Genomics and Phenotypes,7,Stem Cell Biology,2,Gene Expression,0,Cell Genomics
10673810,https:/reporter.nih.gov/search/utE5vMeF30-1Yb8twTLf7A/project-details/10673810#similar-Projects,NATIONAL INSTITUTE OF MENTAL HEALTH,11,Genomics & Gene Expression,11,Genomics and Phenotypes,8,Genomic Studies,6,Alzheimer's Disease and Dementia,1,Neurological Aging
10842305,https:/reporter.nih.gov/search/bxYIyQ_fG06ALrxTjXz5KA/project-details/10842305#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,8,DNA Repair & Transcription,10,DNA Repair Mechanisms,10,DNA Repair,2,Gene Expression,0,Cell Genomics
10799719,https:/reporter.nih.gov/search/Fzgl6gF-h02C20wbL44nfQ/project-details/10799719#similar-Projects,NATIONAL INSTITUTE OF MENTAL HEALTH,15,Substance Use & Addiction,0,Neuronal Brain Function,1,Neuroscience,8,Substance Use,1,Neurological Aging
10912507,https:/reporter.nih.gov/search/H4SqfxzT_kaQswJPQZSsfQ/project-details/10912507#similar-Projects,NATIONAL CANCER INSTITUTE,25,Leukemia Research & Stem Cells,16,Leukemia Biology,0,Cancer Biology,4,Cancer Biology,4,Cancer Biology
